ticket_id,ticket_text,category,priority,department,sentiment,root_cause,resolution_steps,ticket_status,created_at,resolved_at,recommended_action
TKT-3076,"ASAP: Outlook is not syncing emails, last sync was 3 hours ago. Can't wait any longer!",Email/Communication,High,Collaboration Team,Urgent,External email relay IP blacklisted by recipient's spam filter,Applied auto-archive policy for emails older than 1 year. Freed 15GB. Mailbox operational.,Closed,15-03-2026 22:04,15-03-2026 23:56,Priority escalation to Collaboration Team — Assign senior engineer
TKT-1504,The CRM application is showing error 500 on login. This needs IMMEDIATE attention! Please help ASAP!,Software/Application,Critical,Application Support,Urgent,HR portal backend server running at 98% CPU utilization,Restored Python PATH variable. Reinstalled pip packages from requirements.txt. Python environment working.,Reopened,09-03-2026 07:18,09-03-2026 09:10,IMMEDIATE ESCALATION to Application Support — Page on-call engineer
TKT-3001,"Outlook is not syncing emails, last sync was 3 hours ago. Production is completely down! Can't wait any longer!",Email/Communication,Critical,Collaboration Team,Urgent,Exchange ActiveSync profile corrupted on the device,Updated mobile Outlook app to latest version. Configured signature in app settings. Signature now appears.,Closed,14-03-2026 07:35,14-03-2026 08:30,IMMEDIATE ESCALATION to Collaboration Team — Page on-call engineer
TKT-4371,"Found credentials committed in a public GitHub repository. Not urgent at all, just planning ahead.",Security,Low,Security Team,Neutral,Investigation in progress,Pending — ticket assigned to engineer,Open,23-05-2026 05:32,,Queue for Security Team — Respond within 24 hours
TKT-1436,Zoom keeps crashing during screen sharing. Not super urgent but affecting my productivity. This has been going on for days and nobody has helped!,Software/Application,Medium,Application Support,Frustrated,CRM backend database connection pool exhausted,Increased Excel memory allocation. Enabled 64-bit mode. Tested with 500K row file — opens in 8 seconds.,Reopened,01-05-2026 04:29,01-05-2026 13:57,"Assign to Application Support — Follow up with user, target 4-hour resolution"
TKT-0422,Our team's VLAN seems misconfigured after the weekend changes. It's causing some inconvenience but I can manage for now. This has been going on for days and nobody has helped!,Network/VPN,Medium,Infra Team,Frustrated,Routing table corruption after configuration push,Rolled back routing table to last known good configuration. Verified all routes with traceroute.,Closed,10-03-2026 03:39,10-03-2026 07:35,"Assign to Infra Team — Follow up with user, target 4-hour resolution"
TKT-3415,Database user permissions need to be audited for compliance. I have a workaround but it's slowing me down.,Database,Medium,DBA Team,Neutral,Unoptimized query with multiple nested subqueries and no limit clause,Expanded backup storage by 500GB. Cleared old backups beyond retention. Backup job ran successfully.,Closed,29-05-2026 00:03,29-05-2026 04:47,Queue for DBA Team — Standard SLA (8 hours)
TKT-3503,SQL query timeout errors on the reporting dashboard. Please look into this when you get a chance.,Database,Medium,DBA Team,Neutral,Orphaned temp tables and log files consuming disk space,Rewrote stored procedure using set-based operations. Execution time reduced from 12 minutes to 8 seconds.,Reopened,13-03-2026 05:59,13-03-2026 14:22,Queue for DBA Team — Standard SLA (8 hours)
TKT-2514,"Teams channel notifications are not working on my phone. No rush, whenever you get a chance.",Email/Communication,Low,Collaboration Team,Neutral,Calendar delegate permissions misconfigured,Confirmed Microsoft service incident SI-12345. Workaround: use Teams web. Service restored after 2 hours.,Closed,28-03-2026 03:46,29-03-2026 06:41,Queue for Collaboration Team — Respond within 24 hours
TKT-2746,Teams meeting recordings are not saving to SharePoint. Please look into this when you get a chance.,Email/Communication,Medium,Collaboration Team,Neutral,Network jitter exceeding 150ms causing audio packet loss,Added user to shared mailbox via PowerShell Add-MailboxPermission. Restarted Outlook. Access confirmed.,Closed,19-04-2026 22:43,20-04-2026 04:53,Queue for Collaboration Team — Standard SLA (8 hours)
TKT-0968,Need to replace the broken screen on my Dell Latitude. This is just a general question. Thanks in advance.,Hardware,Low,Desktop Support,Neutral,Corrupted GPU driver causing blue screen crashes,Cleaned paper feed rollers and replaced worn pickup roller assembly. Ran 50-page test print successfully.,Closed,07-04-2026 05:31,07-04-2026 14:45,Queue for Desktop Support — Respond within 24 hours
TKT-0377,"Important: VPN keeps disconnecting every 5 minutes, can't attend any meetings.",Network/VPN,High,Infra Team,Neutral,VPN gateway overloaded due to high concurrent connections,Replaced faulty Wi-Fi access point with spare unit. Configured SSID and verified coverage on floor.,Closed,25-04-2026 02:19,25-04-2026 03:26,Assign to Infra Team — Target 2-hour resolution
TKT-1439,"Custom dashboard application is not loading any data since morning. Client demo in 1 hour, please help! Please help ASAP!",Software/Application,High,Application Support,Urgent,Memory leak in SAP GUI client version 7.70 patch 4,Restored Python PATH variable. Reinstalled pip packages from requirements.txt. Python environment working.,Closed,14-04-2026 04:35,14-04-2026 07:22,Priority escalation to Application Support — Assign senior engineer
TKT-1668,"JIRA is extremely slow, taking 30+ seconds to load each page. Low priority, can wait until next week. Great job on the last fix, hoping for the same this time.",Software/Application,Low,Application Support,Positive,Memory leak in SAP GUI client version 7.70 patch 4,Created software request in ServiceNow. Approved by manager. Deployed VS Code via SCCM. Verified installation.,Closed,03-04-2026 07:57,05-04-2026 04:30,Queue for Application Support — Respond within 24 hours with appreciation
TKT-3308,"Automated database backup failed last night. I have a workaround but it's slowing me down. Terrible experience, I expect better from our IT team.",Database,Medium,DBA Team,Frustrated,Backup storage volume reached capacity — backup job failed silently,"Added composite index on (customer_id, created_at). Query time reduced from 45s to 0.3s. Monitored for 1 hour.",Reopened,21-04-2026 00:18,21-04-2026 08:39,"Assign to DBA Team — Follow up with user, target 4-hour resolution"
TKT-2013,Can't login to the time tracking system with my credentials. It's causing some inconvenience but I can manage for now.,Account/Access,Medium,IAM Team,Neutral,Account auto-disabled by HR integration due to incorrect termination date,Updated SAML attribute mapping in IdP configuration. Tested SSO flow. Salesforce login working.,Reopened,26-04-2026 22:38,27-04-2026 08:14,Queue for IAM Team — Standard SLA (8 hours)
TKT-0434,"Unable to connect to the office printer via network. Not urgent at all, just planning ahead. Thanks in advance.",Network/VPN,Low,Infra Team,Neutral,VPN gateway overloaded due to high concurrent connections,"Contacted ISP support, they rerouted traffic through backup link. Monitored latency for 1 hour.",Closed,08-04-2026 01:59,08-04-2026 21:19,Queue for Infra Team — Respond within 24 hours
TKT-4518,How to configure out-of-office auto-reply in Outlook? We are losing money every minute! Please help ASAP!,General IT,Critical,Service Desk,Urgent,Investigation in progress,Pending — ticket assigned to engineer,Open,26-04-2026 06:03,,IMMEDIATE ESCALATION to Service Desk — Page on-call engineer
TKT-1645,"Need license renewal for our project management tool. Deadline is today, really need help.",Software/Application,High,Application Support,Neutral,Investigation in progress,Pending — ticket assigned to engineer,Open,16-04-2026 23:18,,Assign to Application Support — Target 2-hour resolution
TKT-0957,Mouse cursor is lagging and jumping around the screen. It's causing some inconvenience but I can manage for now.,Hardware,Medium,Desktop Support,Neutral,Motherboard power regulation IC failure,Replaced battery with OEM unit (65Wh). Calibrated battery. Now showing 6+ hours estimated life.,Closed,13-04-2026 23:43,14-04-2026 11:13,Queue for Desktop Support — Standard SLA (8 hours)
TKT-4613,"Can I get a desk phone instead of using my mobile? All users are affected, total outage! Please help ASAP!",General IT,Critical,Service Desk,Urgent,BYOD policy document not easily discoverable on intranet,Shared BYOD policy document. Explained personal device registration process via IT portal.,Closed,05-06-2026 01:54,05-06-2026 03:20,IMMEDIATE ESCALATION to Service Desk — Page on-call engineer
TKT-2449,ASAP: LDAP authentication failing for our internal application.,Account/Access,High,IAM Team,Neutral,NTFS permission inheritance broken on shared folder,"Completed offboarding checklist. Disabled AD account. Revoked VPN, email, and application access.",Reopened,20-03-2026 01:21,20-03-2026 04:22,Assign to IAM Team — Target 2-hour resolution
TKT-4612,What are the approved cloud storage solutions? We are losing money every minute!,General IT,Critical,Service Desk,Neutral,Software request form link updated but not communicated,Scheduled IT orientation session for next Monday. Prepared laptop kits for 10 new joiners.,Closed,14-03-2026 04:41,14-03-2026 04:57,IMMEDIATE ESCALATION to Service Desk — Page on-call engineer
TKT-2630,Teams chat messages are showing as 'sending' but never delivered. Would appreciate if this could be fixed today.,Email/Communication,Medium,Collaboration Team,Frustrated,Calendar delegate permissions misconfigured,Applied auto-archive policy for emails older than 1 year. Freed 15GB. Mailbox operational.,Closed,28-04-2026 05:41,28-04-2026 08:26,"Assign to Collaboration Team — Follow up with user, target 4-hour resolution"
TKT-2287,Need to set up VPN credentials for a new contractor. Production is completely down! Thanks in advance.,Account/Access,Critical,IAM Team,Neutral,Account lockout policy triggered after 5 failed login attempts,Reset NTFS permissions on shared folder. Re-applied inheritance. User confirmed access to all subfolders.,Closed,29-04-2026 00:38,29-04-2026 01:07,IMMEDIATE ESCALATION to IAM Team — Page on-call engineer
TKT-0172,"Our team's VLAN seems misconfigured after the weekend changes. No rush, whenever you get a chance.",Network/VPN,Low,Infra Team,Neutral,Investigation in progress,Pending — ticket assigned to engineer,Open,05-06-2026 02:52,,Queue for Infra Team — Respond within 24 hours
TKT-1279,"The CRM application is showing error 500 on login. Low priority, can wait until next week. Let me know if you need more info.",Software/Application,Low,Application Support,Neutral,Memory leak in SAP GUI client version 7.70 patch 4,Updated SAP GUI to patch 5 which fixes the memory leak. Cleared SAP cache. Tested report generation successfully.,Closed,18-03-2026 03:17,18-03-2026 15:01,Queue for Application Support — Respond within 24 hours
TKT-2775,Outlook rules are duplicating emails into multiple folders. Not super urgent but affecting my productivity.,Email/Communication,Medium,Collaboration Team,Neutral,Investigation in progress,Pending — ticket assigned to engineer,Open,07-04-2026 00:57,,Queue for Collaboration Team — Standard SLA (8 hours)
TKT-3172,"Need to archive old records older than 3 years. Low priority, can wait until next week.",Database,Low,DBA Team,Neutral,Backup storage volume reached capacity — backup job failed silently,Rewrote stored procedure using set-based operations. Execution time reduced from 12 minutes to 8 seconds.,Closed,01-05-2026 03:33,01-05-2026 20:30,Queue for DBA Team — Respond within 24 hours
TKT-2756,"My email mailbox is full, need storage quota increased. Production is completely down! Need immediate assistance!",Email/Communication,Critical,Collaboration Team,Urgent,Calendar delegate permissions misconfigured,Updated mobile Outlook app to latest version. Configured signature in app settings. Signature now appears.,Closed,18-03-2026 02:04,18-03-2026 03:33,IMMEDIATE ESCALATION to Collaboration Team — Page on-call engineer
TKT-2624,"Need to migrate old email archives to the new Exchange server. Not super urgent but affecting my productivity. I've raised this issue 3 times already, very disappointed.",Email/Communication,Medium,Collaboration Team,Frustrated,Calendar delegate permissions misconfigured,Updated mobile Outlook app to latest version. Configured signature in app settings. Signature now appears.,Closed,11-03-2026 08:47,11-03-2026 13:59,"Assign to Collaboration Team — Follow up with user, target 4-hour resolution"
TKT-1061,"CRITICAL: Desktop fan is making very loud noise, might overheat soon. This is extremely urgent!",Hardware,Critical,Desktop Support,Urgent,Battery cell degradation beyond 80% wear level,Replaced keyboard with OEM part (P/N: KB-4521). Tested all keys and function keys. Working normally.,Reopened,22-03-2026 22:05,22-03-2026 23:24,IMMEDIATE ESCALATION to Desktop Support — Page on-call engineer
TKT-1428,Excel is freezing when opening large files. Would appreciate if this could be fixed today. Let me know if you need more info.,Software/Application,Medium,Application Support,Neutral,Insufficient RAM allocation for Excel 64-bit with large datasets,Updated SAP GUI to patch 5 which fixes the memory leak. Cleared SAP cache. Tested report generation successfully.,Closed,31-05-2026 05:07,31-05-2026 10:49,Queue for Application Support — Standard SLA (8 hours)
TKT-3129,"Database connection pool is exhausted, app is throwing errors. Not urgent at all, just planning ahead.",Database,Low,DBA Team,Neutral,Orphaned temp tables and log files consuming disk space,Created schema using DBA admin account. Granted appropriate permissions to development team. Schema ready for use.,Closed,24-03-2026 08:17,25-03-2026 12:09,Queue for DBA Team — Respond within 24 hours
TKT-1128,Laptop won't turn on even after charging overnight. It's causing some inconvenience but I can manage for now. Happy to provide more details if needed.,Hardware,Medium,Desktop Support,Neutral,Motherboard power regulation IC failure,Replaced keyboard with OEM part (P/N: KB-4521). Tested all keys and function keys. Working normally.,Closed,11-04-2026 02:40,11-04-2026 05:12,Queue for Desktop Support — Standard SLA (8 hours)
TKT-2002,"Need access to the production database for debugging. Deadline is today, really need help.",Account/Access,High,IAM Team,Neutral,IAM role policy missing required permissions for console access,Processed access request with manager's verbal approval. Granted read-only DB access. Logged in audit trail.,Closed,03-06-2026 05:01,03-06-2026 07:29,Assign to IAM Team — Target 2-hour resolution
TKT-3083,"Teams call quality is terrible, audio keeps cutting out. Please look into this when you get a chance.",Email/Communication,Medium,Collaboration Team,Neutral,Teams service regional outage affecting message delivery,Submitted delisting request for mail server IP. Configured SPF/DKIM records. External emails flowing.,Closed,30-03-2026 05:45,30-03-2026 16:28,Queue for Collaboration Team — Standard SLA (8 hours)
TKT-0514,"VPN license expired, cannot work remotely anymore. It's causing some inconvenience but I can manage for now.",Network/VPN,Medium,Infra Team,Neutral,Incorrect VLAN tagging after maintenance window,Rolled back routing table to last known good configuration. Verified all routes with traceroute.,Closed,25-04-2026 01:53,25-04-2026 12:17,Queue for Infra Team — Standard SLA (8 hours)
TKT-3817,"Employee reported clicking on a phishing link, need investigation. Low priority, can wait until next week.",Security,Low,Security Team,Neutral,Investigation in progress,Pending — ticket assigned to engineer,Open,29-05-2026 08:06,,Queue for Security Team — Respond within 24 hours
TKT-0755,"Printer on 4th floor is jamming constantly, need repair. Please look into this when you get a chance.",Hardware,Medium,Desktop Support,Neutral,Keyboard membrane circuit failure due to liquid damage,Uninstalled conflicting Realtek audio driver. Installed Microsoft-signed driver. Microphone detected in Teams.,Closed,09-04-2026 22:01,10-04-2026 02:52,Queue for Desktop Support — Standard SLA (8 hours)
TKT-1229,"Monitor displays blue screen of death every 30 minutes. I have a workaround but it's slowing me down. Just a small request, you guys are doing great work!",Hardware,Medium,Desktop Support,Positive,Corrupted GPU driver causing blue screen crashes,Opened laptop and reseated trackpad flex cable. Applied Kapton tape for secure connection. Trackpad responsive.,Closed,03-06-2026 05:14,03-06-2026 15:32,Queue for Desktop Support — Standard SLA (8 hours)
TKT-1470,"Need license renewal for our project management tool. Please look into this when you get a chance. This is unacceptable, I can't believe this is still broken.",Software/Application,Medium,Application Support,Frustrated,Investigation in progress,Pending — ticket assigned to engineer,Open,11-05-2026 03:32,,"Assign to Application Support — Follow up with user, target 4-hour resolution"
TKT-1203,Laptop won't turn on even after charging overnight. This needs IMMEDIATE attention!,Hardware,Critical,Desktop Support,Urgent,Battery cell degradation beyond 80% wear level,Replaced keyboard with OEM part (P/N: KB-4521). Tested all keys and function keys. Working normally.,Closed,19-05-2026 05:13,19-05-2026 05:31,IMMEDIATE ESCALATION to Desktop Support — Page on-call engineer
TKT-0329,"Cannot access corporate network from home, VPN shows authentication error. Not super urgent but affecting my productivity.",Network/VPN,Medium,Infra Team,Neutral,Incorrect VLAN tagging after maintenance window,Updated firewall ACL rules to allow traffic on ports 443 and 8443. Tested with curl and browser.,Reopened,09-05-2026 01:22,09-05-2026 04:47,Queue for Infra Team — Standard SLA (8 hours)
TKT-3958,Our SSL certificate for the customer portal expires tomorrow! Would appreciate if this could be fixed today. This is extremely urgent!,Security,Medium,Security Team,Urgent,Workstation infected with cryptominer via drive-by download,Reset account password. Revoked all active sessions. Enabled MFA. Reviewed audit logs for unauthorized actions.,Closed,23-04-2026 06:07,23-04-2026 15:14,Queue for Security Team — Standard SLA (8 hours)
TKT-3445,Deadlock detected in the transaction processing module. Can't do any work until this is resolved. Thanks for always being so helpful!,Database,High,DBA Team,Positive,Orphaned temp tables and log files consuming disk space,Restarted replication from snapshot. Verified data consistency with checksum comparison. Lag now under 1 second.,Closed,28-03-2026 05:40,28-03-2026 08:43,Assign to DBA Team — Target 2-hour resolution
TKT-3605,Data discrepancy found between production and reporting databases. Not super urgent but affecting my productivity.,Database,Medium,DBA Team,Neutral,MongoDB secondary node fell behind due to oplog overflow,Resized oplog to 50GB. Performed initial sync on secondary. Replica set healthy with 0 lag.,Closed,28-04-2026 03:08,28-04-2026 07:33,Queue for DBA Team — Standard SLA (8 hours)
TKT-2950,"Outlook rules are duplicating emails into multiple folders. All users are affected, total outage! Need immediate assistance!",Email/Communication,Critical,Collaboration Team,Urgent,Mailbox exceeded 50GB quota — archiving policy not applied,Cleared Teams cache from AppData/Microsoft/Teams. Reinstalled Teams. Meeting connection restored.,Closed,13-03-2026 07:39,13-03-2026 08:52,IMMEDIATE ESCALATION to Collaboration Team — Page on-call engineer
TKT-3063,Unable to attach files larger than 10MB in Outlook. It's causing some inconvenience but I can manage for now. Let me know if you need more info.,Email/Communication,Medium,Collaboration Team,Neutral,Mailbox exceeded 50GB quota — archiving policy not applied,Switched user to wired connection for calls. QoS policy applied for Teams traffic. Audio quality improved.,Closed,05-06-2026 00:29,05-06-2026 03:56,Queue for Collaboration Team — Standard SLA (8 hours)
TKT-3677,Need to restore yesterday's backup for the customer database. I have a workaround but it's slowing me down.,Database,Medium,DBA Team,Neutral,Missing index on frequently queried column causing full table scans,Restored database from last good backup (23:00 snapshot). Verified data integrity. 0 records lost.,Closed,16-04-2026 08:03,16-04-2026 11:07,Queue for DBA Team — Standard SLA (8 hours)
TKT-3282,Important: MongoDB replica set is out of sync.,Database,High,DBA Team,Neutral,Investigation in progress,Pending — ticket assigned to engineer,Open,15-03-2026 03:49,,Assign to DBA Team — Target 2-hour resolution
TKT-1086,"Desktop fan is making very loud noise, might overheat soon. Would appreciate if this could be fixed today. Every minute counts!",Hardware,Medium,Desktop Support,Urgent,Faulty display cable connection inside the laptop chassis,Replaced battery with OEM unit (65Wh). Calibrated battery. Now showing 6+ hours estimated life.,Closed,01-06-2026 05:46,01-06-2026 11:26,Queue for Desktop Support — Standard SLA (8 hours)
TKT-3303,SQL query timeout errors on the reporting dashboard. Would appreciate if this could be fixed today. Let me know if you need more info.,Database,Medium,DBA Team,Neutral,Schema migration tool not available in restricted environment,Restarted replication from snapshot. Verified data consistency with checksum comparison. Lag now under 1 second.,Closed,25-03-2026 07:09,25-03-2026 17:12,Queue for DBA Team — Standard SLA (8 hours)
TKT-0549,Need to whitelist a new IP range for our vendor's API. Boss is escalating this already. Really frustrated with the IT support response time.,Network/VPN,High,Infra Team,Frustrated,Wi-Fi access point hardware failure,Renewed SSL certificate on VPN concentrator and restarted the VPN service. Tested remote connectivity.,Closed,07-04-2026 06:55,07-04-2026 08:16,Priority escalation to Infra Team — Assign senior engineer
TKT-0670,Scanner in HR department is not scanning properly. Would appreciate if this could be fixed today. Thanks for always being so helpful!,Hardware,Medium,Desktop Support,Positive,Keyboard membrane circuit failure due to liquid damage,Replaced battery with OEM unit (65Wh). Calibrated battery. Now showing 6+ hours estimated life.,Closed,29-04-2026 07:36,29-04-2026 14:27,Queue for Desktop Support — Standard SLA (8 hours)
TKT-0140,"Latency issues while connecting to US servers through VPN. Just curious about this, no hurry. Happy to provide more details if needed.",Network/VPN,Low,Infra Team,Neutral,Routing table corruption after configuration push,Rolled back routing table to last known good configuration. Verified all routes with traceroute.,Reopened,02-05-2026 22:10,04-05-2026 01:13,Queue for Infra Team — Respond within 24 hours
TKT-3785,Suspicious network traffic detected from a workstation on floor 3. Would appreciate if this could be fixed today.,Security,Medium,Security Team,Frustrated,Developer deployed API without authentication middleware,Reset account password. Revoked all active sessions. Enabled MFA. Reviewed audit logs for unauthorized actions.,Closed,26-03-2026 00:03,26-03-2026 04:07,"Assign to Security Team — Follow up with user, target 4-hour resolution"
TKT-3054,Calendar invites are not showing up in my Outlook. Production is completely down! This is extremely urgent!,Email/Communication,Critical,Collaboration Team,Urgent,Distribution list creation requires Exchange admin privileges,Switched user to wired connection for calls. QoS policy applied for Teams traffic. Audio quality improved.,Closed,21-03-2026 07:43,21-03-2026 08:45,IMMEDIATE ESCALATION to Collaboration Team — Page on-call engineer
TKT-3121,Teams meeting recordings are not saving to SharePoint. Would appreciate if this could be fixed today.,Email/Communication,Medium,Collaboration Team,Neutral,Mobile Outlook app using legacy protocol without signature support,Submitted delisting request for mail server IP. Configured SPF/DKIM records. External emails flowing.,Closed,22-05-2026 02:54,22-05-2026 09:39,Queue for Collaboration Team — Standard SLA (8 hours)
TKT-1880,"Important: MFA is not working, not receiving OTP on my phone. Just a small request, you guys are doing great work!",Account/Access,High,IAM Team,Positive,Access request not processed — missing manager approval in workflow,Whitelisted password reset email domain in spam filter. Resent reset link. User confirmed receipt.,Closed,26-03-2026 02:06,26-03-2026 06:05,Assign to IAM Team — Target 2-hour resolution
TKT-2222,"My account seems compromised, seeing login attempts from unknown IPs. No rush, whenever you get a chance. Really frustrated with the IT support response time.",Account/Access,Low,IAM Team,Frustrated,IAM role policy missing required permissions for console access,Whitelisted password reset email domain in spam filter. Resent reset link. User confirmed receipt.,Closed,20-03-2026 00:18,20-03-2026 12:39,Queue for IAM Team — Respond within 24 hours
TKT-1586,ASAP: Zoom keeps crashing during screen sharing.,Software/Application,High,Application Support,Neutral,Investigation in progress,Pending — ticket assigned to engineer,Open,14-05-2026 00:26,,Assign to Application Support — Target 2-hour resolution
TKT-0457,VPN connection times out after entering credentials. It's causing some inconvenience but I can manage for now. Please help ASAP!,Network/VPN,Medium,Infra Team,Urgent,Routing table corruption after configuration push,Updated firewall ACL rules to allow traffic on ports 443 and 8443. Tested with curl and browser.,Closed,20-03-2026 06:36,20-03-2026 11:08,Queue for Infra Team — Standard SLA (8 hours)
TKT-4057,Found an exposed API endpoint with no authentication. Please look into this when you get a chance. This has been going on for days and nobody has helped!,Security,Medium,Security Team,Frustrated,Phishing email bypassed spam filter due to spoofed domain,Isolated workstation. Removed cryptominer process. Blocked C2 server IP in firewall. Patched browser to latest version.,Closed,13-05-2026 05:39,13-05-2026 15:14,"Assign to Security Team — Follow up with user, target 4-hour resolution"
TKT-4799,General inquiry about upcoming system maintenance schedule. I have a workaround but it's slowing me down. This has been going on for days and nobody has helped!,General IT,Medium,Service Desk,Frustrated,Time tracking system user guide not updated after recent upgrade,"Walked user through laptop setup: Wi-Fi, VPN, email, Teams, and printer. Provided setup checklist document.",Reopened,15-04-2026 23:12,16-04-2026 02:37,"Assign to Service Desk — Follow up with user, target 4-hour resolution"
TKT-2405,"MFA is not working, not receiving OTP on my phone. Just curious about this, no hurry.",Account/Access,Low,IAM Team,Neutral,Active Directory replication delay between domain controllers,"Completed offboarding checklist. Disabled AD account. Revoked VPN, email, and application access.",Closed,06-05-2026 02:29,07-05-2026 19:29,Queue for IAM Team — Respond within 24 hours
TKT-1131,"Laptop battery drains in 1 hour, need replacement. No rush, whenever you get a chance.",Hardware,Low,Desktop Support,Neutral,Paper feed roller worn out from extensive use,Updated docking station firmware to v1.4.2. Reinstalled display drivers. Both monitors detected correctly.,Closed,24-05-2026 23:13,25-05-2026 13:51,Queue for Desktop Support — Respond within 24 hours
TKT-1806,SYSTEM DOWN: Windows update broke my Python environment. Need immediate assistance!,Software/Application,Critical,Application Support,Urgent,License server unreachable due to network segmentation change,Increased Excel memory allocation. Enabled 64-bit mode. Tested with 500K row file — opens in 8 seconds.,Closed,12-05-2026 08:04,12-05-2026 09:55,IMMEDIATE ESCALATION to Application Support — Page on-call engineer
TKT-4351,URGENT: Received a suspicious phishing email claiming to be from HR. This is extremely urgent!,Security,Critical,Security Team,Urgent,Brute force attack from foreign IP — weak password policy,Added JWT authentication middleware to API. Deployed fix to production. Verified with Postman — 401 for unauthenticated requests.,Closed,09-04-2026 00:48,09-04-2026 02:00,IMMEDIATE ESCALATION to Security Team — Page on-call engineer
TKT-2221,Bulk user creation needed for 50 new interns joining Monday. It's causing some inconvenience but I can manage for now.,Account/Access,Medium,IAM Team,Urgent,SMTP relay for password reset emails blocked by spam filter,Forced AD replication between DCs using repadmin /syncall. Account visible across all sites within 5 minutes.,Closed,12-03-2026 00:18,12-03-2026 10:05,Queue for IAM Team — Standard SLA (8 hours)
TKT-0159,Unable to connect to the office printer via network. I have a workaround but it's slowing me down.,Network/VPN,Medium,Infra Team,Neutral,Wi-Fi access point hardware failure,Renewed SSL certificate on VPN concentrator and restarted the VPN service. Tested remote connectivity.,Closed,14-03-2026 03:53,14-03-2026 08:06,Queue for Infra Team — Standard SLA (8 hours)
TKT-0035,DNS resolution failing for internal websites. Boss is escalating this already. Let me know if you need more info.,Network/VPN,High,Infra Team,Neutral,VPN gateway overloaded due to high concurrent connections,Renewed SSL certificate on VPN concentrator and restarted the VPN service. Tested remote connectivity.,Closed,05-05-2026 06:19,05-05-2026 09:43,Assign to Infra Team — Target 2-hour resolution
TKT-0368,Proxy settings seem broken after the last update. Would appreciate if this could be fixed today.,Network/VPN,Medium,Infra Team,Neutral,DHCP lease exhaustion on the floor's subnet,Renewed SSL certificate on VPN concentrator and restarted the VPN service. Tested remote connectivity.,Closed,04-05-2026 02:07,04-05-2026 11:29,Queue for Infra Team — Standard SLA (8 hours)
TKT-3194,Need to implement data masking for PII in test environments. Can't do any work until this is resolved.,Database,High,DBA Team,Frustrated,Schema migration tool not available in restricted environment,Expanded backup storage by 500GB. Cleared old backups beyond retention. Backup job ran successfully.,Closed,27-03-2026 04:38,27-03-2026 08:08,Priority escalation to DBA Team — Assign senior engineer
TKT-0030,"Network outage in Building B, none of the systems are accessible. I have a workaround but it's slowing me down. Terrible experience, I expect better from our IT team.",Network/VPN,Medium,Infra Team,Frustrated,Network switch firmware bug causing packet drops,Flushed DNS cache and reconfigured DNS servers to 8.8.8.8 and 8.8.4.4. Verified connectivity restored.,Closed,22-05-2026 02:03,22-05-2026 13:18,"Assign to Infra Team — Follow up with user, target 4-hour resolution"
TKT-2585,SYSTEM DOWN: Need to set up a distribution list for the new marketing team. Every minute counts!,Email/Communication,Critical,Collaboration Team,Urgent,Mobile Outlook app using legacy protocol without signature support,Applied auto-archive policy for emails older than 1 year. Freed 15GB. Mailbox operational.,Closed,14-04-2026 01:02,14-04-2026 02:09,IMMEDIATE ESCALATION to Collaboration Team — Page on-call engineer
TKT-0122,Our team's VLAN seems misconfigured after the weekend changes. Production is completely down! Every minute counts!,Network/VPN,Critical,Infra Team,Urgent,ISP upstream link degradation,"Contacted ISP support, they rerouted traffic through backup link. Monitored latency for 1 hour.",Closed,31-05-2026 23:51,01-06-2026 00:52,IMMEDIATE ESCALATION to Infra Team — Page on-call engineer
TKT-2733,"Teams call quality is terrible, audio keeps cutting out. Just curious about this, no hurry.",Email/Communication,Low,Collaboration Team,Neutral,Exchange ActiveSync profile corrupted on the device,Confirmed Microsoft service incident SI-12345. Workaround: use Teams web. Service restored after 2 hours.,Closed,03-05-2026 05:01,04-05-2026 10:56,Queue for Collaboration Team — Respond within 24 hours
TKT-4053,Unauthorized login attempt detected on my account from Russia. Boss is escalating this already. This has been going on for days and nobody has helped!,Security,High,Security Team,Frustrated,User downloaded infected attachment from personal email,Isolated workstation. Removed cryptominer process. Blocked C2 server IP in firewall. Patched browser to latest version.,Closed,22-04-2026 22:58,23-04-2026 01:35,Priority escalation to Security Team — Assign senior engineer
TKT-3066,"Email forwarding rule I set up is not forwarding properly. Not urgent at all, just planning ahead.",Email/Communication,Low,Collaboration Team,Neutral,External email relay IP blacklisted by recipient's spam filter,Created distribution list via Exchange admin center. Added 25 members. Test email delivered to all.,Closed,19-04-2026 22:58,21-04-2026 11:03,Queue for Collaboration Team — Respond within 24 hours
TKT-2609,Email signature is not appearing when sending from mobile. I have a workaround but it's slowing me down. Happy to provide more details if needed.,Email/Communication,Medium,Collaboration Team,Neutral,Network jitter exceeding 150ms causing audio packet loss,Reconfigured calendar delegate permissions via Exchange admin center. Calendar invites now visible.,Closed,19-04-2026 08:38,19-04-2026 13:01,Queue for Collaboration Team — Standard SLA (8 hours)
TKT-1326,"SAP is crashing every time I try to generate a report. Please look into this when you get a chance. This is unacceptable, I can't believe this is still broken.",Software/Application,Medium,Application Support,Frustrated,UAC policy blocking .exe installation from non-approved sources,Updated SAP GUI to patch 5 which fixes the memory leak. Cleared SAP cache. Tested report generation successfully.,Closed,01-05-2026 07:29,01-05-2026 17:36,"Assign to Application Support — Follow up with user, target 4-hour resolution"
